Name,Link,Topic,date pub
How To Decide Which Programming Language Is Best For You,https://codeburst.io/how-to-decide-which-programming-language-is-best-for-you-c4ddab2b0529,programming,"July 1, 2020"
What Is AR And Why Apple Might Lead This Industry,https://medium.com/macoclock/what-is-ar-and-why-apple-might-lead-this-industry-1fe2cf405a03,"AR, tech","June 27, 2020"
Apple WWDC 2020 in 4 minutes,https://medium.com/macoclock/apple-wwdc-2020-in-4-minutes-718c4536ee4f,"gadgets, tech","June 23, 2020"
What is most important,https://medium.com/@shubhpatni/what-is-most-important-7599e76ae653,"life, productivity","June 22, 2020"
What Do Emotions Look Like? Let’s Ask The Computer,https://medium.com/dev-genius/what-do-emotions-look-like-lets-ask-the-computer-57242fef8b00,"AI, programming","June 18, 2020"
This Simple Code Allows You To Use Face ID On Mac,https://medium.com/dev-genius/this-simple-code-allows-you-to-use-face-id-on-mac-29fc8334f080,"AI, programming","June 14, 2020"
Know your tools before you craft,https://medium.com/@shubhpatni/know-your-tools-before-you-craft-how-to-boost-your-productivity-9a804107a729,productivity,"June 7, 2020"
Power of just being told: Why obvious doesn’t sound obvious,https://medium.com/@shubhpatni/power-of-just-being-told-why-obvious-doesnt-sound-obvious-2b842c2f0542,"life, productivity","June 3, 2020"
Is Decentralized Finance (DeFi) Really a Game-Changer,https://medium.com/coinmonks/is-decentralized-finance-defi-really-a-game-changer-2b9ff1ae6bb9,crypto,"July 12, 2021"
6 Ways To Generate Passive Income With Crypto,https://levelup.gitconnected.com/6-ways-to-generate-passive-income-with-crypto-eb02c611e150?source=rss-a3762dfaaa71------2,"finance, blockchain, cryptocurrency, investing, defi","July 19, 2021"
